Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,,,,[0.9038734436035156],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
AA,,,,[0.9170267581939696],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
AAC,,,,[0.9220126271247864],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
ADC,,,,[0.9274137020111084],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
ADP,,,,[0.926636517047882],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
APC,77,Seventy Seven,,"[0.8620335459709167, 0.8046495318412781, 0.9192981719970704]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
APGA,,,,[0.9279065132141112],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
APM,,,,[0.933337926864624],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
APP,,,,[0.9288095831871032],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
BP,,,,[0.9208873510360718],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
LP,7,Seven,,"[0.8661349415779114, 0.8335293531417847, 0.9285274147987366]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
NNPP,,,,[0.930619180202484],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
NRM,,,,[0.9207253456115724],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
PDP,1,one,,"[0.8727346658706665, 0.9318556189537048, 0.7691720724105835]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
SDP,,,,[0.912452757358551],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
YPP,,,,[0.9255733489990234],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
ZLP,,,,"[0.9161028265953064, 0.843977153301239]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,,,,"[0.8952863216400146, 0.5796834826469421]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
AA,,,,[0.8937200903892517],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
AAC,,,,[0.8777236938476562],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
ADC,,,,[0.8942806124687195],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
ADP,,,,[0.9034216403961182],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
APC,352,Three hundre,True,"[0.7589154839515686, 0.6849857568740845, 0.5396746397018433, 0.8977236151695251]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
APGA,,,,[0.8746562600135803],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
APM,,,,[0.8867124915122986],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
APP,,,,[0.8992007970809937],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
BP,,,,[0.8914719223976135],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
LP,,,,[0.8880441188812256],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
NNPP,,One,,"[0.8228780627250671, 0.8689092397689819, 0.8736951947212219]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
NRM,0,,,"[0.85770183801651, 0.908979594707489]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
PDP,16,Sixteen,,"[0.908369481563568, 0.8553390502929688, 0.8634483814239502]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
SDP,,,,[0.9165087938308716],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
YPP,,,,[0.9162223935127258],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
ZLP,,,,[0.8724518418312073],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,,,,[0.8969821929931641],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
AA,,,,"[0.8276451230049133, 0.8866941332817078]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
AAC,,,,[0.8762961626052856],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
ADC,,ONE,True,"[0.8577772974967957, 0.6280360817909241, 0.6677977442741394, 0.742841899394989, 0.8989764451980591]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
ADP,,,,[0.9074946045875548],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
APC,39,Threaty,True,"[0.765884518623352, 0.7419307827949524, 0.6841905117034912, 0.290879338979721, 0.8997066020965576]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
APGA,,,,[0.9213364720344543],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
APM,,,,[0.914184868335724],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
APP,,,,[0.9040288925170898],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
BP,,,,[0.9272004961967468],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
LP,XLIL,,True,"[0.7322384119033813, 0.7426586151123047, 0.9179350137710572, 0.5755612254142761]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
NNPP,"1,5un",,,"[0.9013273119926452, 0.5108887553215027]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
NRM,,,,[0.9149793982505798],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
PDP,9,NINE,True,"[0.8504575490951538, 0.7089069485664368, 0.8951221704483032, 0.8451786637306213, 0.3895304203033447]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
SDP,,,,[0.9237844944000244],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
YPP,,,,[0.910041093826294],../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
ZLP,with,,True,"[0.9264026880264282, 0.5080755949020386, 0.29140505194664]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,B,ZERO,,"[0.8798764944076538, 0.8699195384979248, 0.8134393692016602]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
AA,O,ZERO,,"[0.8961336016654968, 0.8771973252296448, 0.8227356672286987]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
AAC,,ZERO,,"[0.8772597908973694, 0.7868768572807312, 0.8723041415214539]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
ADC,0,ZERO,,"[0.8957027196884155, 0.7777138352394104, 0.8826441168785095]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
ADP,,,,"[0.900651216506958, 0.8739703893661499]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
APC,,ONE,,"[0.9017614722251892, 0.8104112148284912, 0.8665343523025513]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
APGA,,ZERO,True,"[0.8740419745445251, 0.8703179955482483, 0.8393304347991943, 0.6408767104148865]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
APM,0,ZERO,,"[0.9042997360229492, 0.8679970502853394, 0.7597767114639282]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
APP,0,ZERO,,"[0.9043511748313904, 0.8603362441062927, 0.648992657661438]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
BP,e,ZERO,,"[0.905944526195526, 0.8615556359291077, 0.4932580590248108]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
LP,C,ZERO,,"[0.9120389819145204, 0.8685913681983948, 0.4226527512073517]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
NNPP,0,ZERO,,"[0.8837957382202148, 0.8633881211280823, 0.5423980355262756]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
NRM,0,ZERO,,"[0.8894593119621277, 0.8725770115852356, 0.5328011512756348]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
PDP,1,ONE,,"[0.8939442038536072, 0.8511369824409485, 0.8573703169822693]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
SDP,0,ZERO,,"[0.885827362537384, 0.773499071598053, 0.7608429789543152]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
YPP,0,ZERO,,"[0.776893675327301, 0.8795463442802429, 0.8604761362075806]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
ZLP,0,ZERO,,"[0.7825396060943604, 0.8995882272720337, 0.8430942893028259]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,,,,[0.9038212299346924],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
AA,,,,[0.8974819779396057],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
AAC,,,,[0.8948290348052979],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
ADC,,,,[0.9102663993835448],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
ADP,2,Two,True,"[0.8799610733985901, 0.8320181965827942, 0.7485447525978088, 0.9174154996871948]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
APC,37,THIRTY SEVEN,True,"[0.849236249923706, 0.801931619644165, 0.8087967038154602, 0.9151585698127748]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
APGA,,,,[0.9100465774536132],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
APM,,,,[0.915915071964264],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
APP,,,,[0.918020486831665],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
BP,,,,[0.9090550541877748],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
LP,5,five,True,"[0.8758090734481812, 0.8048426508903503, 0.7827250957489014, 0.907117486000061]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
NNPP,7,SECEN,,"[0.7766356468200684, 0.9052451252937316, 0.8715737462043762]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
NRM,,,,[0.909998059272766],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
PDP,24,TWENTY four,,"[0.809822678565979, 0.8417593240737915, 0.9088749885559082, 0.8241676092147827]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
SDP,,,,[0.9129623174667358],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
YPP,,,,[0.9065415859222412],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
ZLP,,,,[0.8809984922409058],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,,,,[0.9079794883728028],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
AA,,,,[0.9215953946113586],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
AAC,,,,[0.9176638126373292],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
ADC,,,,[0.911562442779541],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
ADP,,one,,"[0.9282057881355286, 0.8914922475814819, 0.8304260969161987]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
APC,44,FOURTY FOUR,,"[0.9259353876113892, 0.8744021058082581, 0.8013024926185608]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
APGA,,,,[0.9265825152397156],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
APM,,ONE,,"[0.9263051152229308, 0.8573915958404541, 0.8331176042556763]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
APP,,,,[0.9140766859054564],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
BP,,,,[0.9185174703598022],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
LP,5,FIVE,,"[0.9158573150634766, 0.8876858949661255, 0.8310477137565613]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
NNPP,2,TWIO,,"[0.8944600820541382, 0.8825592398643494, 0.8083141446113586]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
NRM,,,,[0.9019725322723388],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
PDP,68,sixiy EIGHT,True,"[0.2930190861225128, 0.8974121809005737, 0.8541178107261658, 0.7704912424087524]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
SDP,,,,[0.8828954696655273],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
YPP,,,,[0.8794273138046265],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
ZLP,,,,[0.8763190507888794],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,0,ZERO,,"[0.8174282908439636, 0.8889104723930359, 0.862076461315155]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
AA,01,ONE,,"[0.8255806565284729, 0.876203715801239, 0.8514087796211243]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
AAC,0,ZERO,,"[0.8775054216384888, 0.7801973819732666, 0.880332350730896]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
ADC,0,ZERO,,"[0.8085194230079651, 0.8854256272315979, 0.8762370347976685]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
ADP,O,ZERO,,"[0.8208783268928528, 0.8719227313995361, 0.8795397877693176]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
APC,58,FIFTY EIGHT,True,"[0.8581952452659607, 0.8037406206130981, 0.3603087663650512, 0.3584361672401428, 0.8806737661361694]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
APGA,O,ZERO,,"[0.8581066131591797, 0.845962643623352, 0.8856492042541504]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
APM,,ZERO,,"[0.8086280822753906, 0.8790233135223389, 0.8814389705657959]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
APP,,ZERO,,"[0.8447619676589966, 0.8567363619804382, 0.8379738926887512]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
BP,,ZERO,,"[0.8519732356071472, 0.8670458793640137, 0.8858475685119629]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
LP,03,THREE,True,"[0.8262614607810974, 0.8411535024642944, 0.7009239792823792, 0.8956563472747803]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
NNPP,04,FOUR,True,"[0.7895896434783936, 0.8359533548355103, 0.7411651611328125, 0.862447202205658]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
NRM,0,ZERO,,"[0.8602811098098755, 0.8544424176216125, 0.8527407050132751]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
PDP,52,HELPTY TWO,True,"[0.8475296497344971, 0.819765031337738, 0.7414976358413696, 0.8859161734580994]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
SDP,,ZERO,,"[0.8431653380393982, 0.8754106163978577, 0.3774011433124542]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
YPP,0,ZERO,,"[0.8633418679237366, 0.8677716255187988, 0.8742920160293579]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
ZLP,OTHER,ZERO,,"[0.4261037707328796, 0.8295825719833374, 0.8870975375175476]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,,,,[0.8856500387191772],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
AA,,,,[0.8781599402427673],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
AAC,,,,[0.8752388954162598],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
ADC,,,,[0.8573991656303406],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
ADP,,,,"[0.4689060747623443, 0.8552592992782593]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
APC,,,,[0.8769726157188416],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
APGA,,,,[0.8846176266670227],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
APM,,,,[0.8853147029876709],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
APP,,,,[0.8726921677589417],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
BP,,,,[0.901232659816742],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
LP,,,,[0.9142636656761168],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
NNPP,,,,[0.9050502181053162],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
NRM,,,,[0.8941250443458557],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
PDP,,,,[0.9054558873176576],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
SDP,,,,[0.9021996259689332],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
YPP,,,,[0.8926517367362976],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
ZLP,,,,[0.8946806192398071],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,,,,[0.9194694757461548],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
AA,,,,[0.9048566818237304],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
AAC,,,,[0.9023523926734924],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
ADC,,,,"[0.5881946682929993, 0.8948907256126404]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
ADP,9,,,"[0.6053073406219482, 0.9112332463264464]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
APC,Two 2,Two,,"[0.5376944541931152, 0.9128934741020204, 0.7941477298736572]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
APGA,1,ONE,True,"[0.7532458305358887, 0.7921907305717468, 0.9060635566711426, 0.761493444442749]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
APM,,,,[0.8982006907463074],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
APP,,,,[0.907806158065796],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
BP,,,,"[0.8404062390327454, 0.9160321354866028]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
LP,163,one ONE hundred,True,"[0.8186718821525574, 0.721342921257019, 0.7858228087425232, 0.9144830703735352]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
NNPP,,,,[0.8876129388809204],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
NRM,,,,[0.8839132189750671],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
PDP,3,THREE,True,"[0.772525429725647, 0.7785875201225281, 0.9032627940177916, 0.8662940859794617]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
